file_key,series_prefix_candidate,series_step_candidate,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,dot_C3H3_C6H6,dot_xy_C3H3_C6H6,axis_abs_z_component_proxy,axis_abs_elevation_deg_proxy,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin
0-0-3-15-3,0-0-3-15,3,45.86,-133.0042009148267,46.9957990851733,47.13920076025019,47.06749992271175,0.14340167507685733,179.8565983249233,-0.99996001558692,-0.998354323964687,0.040071082119566066,2.2965187492925536,"[30,50)","[30,50)","[30,50)","[0,0.25)"
0-0-3-15-4,0-0-3-15,4,45.28,-132.81020914782448,47.189790852175506,47.37441195965748,47.28210140591649,0.18462110748195126,179.81537889251777,-0.99996001558692,-0.996036156003987,0.06264071825045643,3.591400089490266,"[30,50)","[30,50)","[30,50)","[0,0.25)"
0-0-3-15-5,0-0-3-15,5,44.18,-132.50698232988728,47.493017670112714,47.7178472113626,47.60543244073766,0.224829541249872,179.77517045874987,-0.99996001558692,-0.9927797088874,0.08473669039749003,4.8608837139808285,"[30,50)","[30,50)","[30,50)","[0,0.25)"
0-0-3-15-6,0-0-3-15,6,42.31,-132.09589634423205,47.90410365576795,48.167907828220386,48.03600574199417,0.26380417245241,179.73619582754762,-0.99996001558692,-0.988677165600564,0.10622076061842191,6.097504353949219,"[30,50)","[30,50)","[30,50)","[0.25,0.5)"
0-0-3-18-10,0-0-3-18,10,17.54,-119.64158116537168,60.358418834628324,60.760904938844476,60.5596618867364,0.40248610421612435,179.59751389578406,-0.99996001558692,-0.999740329481988,0.014821811796540251,0.8492583576581294,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-3-18-11,0-0-3-18,11,11.15,-119.75881611115236,60.241183888847644,60.669757994263556,60.4554709415556,0.42857410541588076,179.5714258945843,-0.99996001558692,-0.999806496725524,0.012390272853978205,0.7099285069079735,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-3-18-12,0-0-3-18,12,6.73,-119.86180095033421,60.138199049665786,60.589600184175204,60.3638996169205,0.45140113450938796,179.54859886549022,-0.99996001558692,-0.999863819477263,0.009807961544431852,0.5619638121568864,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-3-18-13,0-0-3-18,13,3.9,-119.94975595614503,60.05024404385497,60.5210397579678,60.28564190091138,0.4707957141128031,179.52920428588737,-0.99996001558692,-0.999909731469014,0.007091129522585618,0.40629519870590036,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-3-18-14,0-0-3-18,14,1.89,-120.02201554266425,59.97798445733575,60.464596833801224,60.22129064556849,0.4866123764654469,179.51338762353473,-0.99996001558692,-0.999941972049437,0.00424776852983136,0.24337994101741728,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-3-18-7,0-0-3-18,7,39.07,-119.21376085579755,60.786239144202455,61.09297495302476,60.93960704861361,0.3067358088222784,179.69326419117735,-0.99996001558692,-0.999517196723298,0.021043261715382296,1.2057790849357313,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-3-18-9,0-0-3-18,9,25.3,-119.51098434317406,60.48901565682594,60.86234913145839,60.675682394142164,0.37333347463242034,179.6266665253678,-0.99996001558692,-0.999668105381651,0.017085379869030887,0.9789677902611897,"[50,70]","[50,70]","[50,70]","[0.25,0.5)"
0-0-3-4-10,0-0-3-4,10,46.18,-179.8268143611763,0.17318563882368293,0.4559270226030483,0.3145563307133656,0.28274138377934727,179.71725861622073,-0.99996001558692,-0.506394056428737,0.702542496336117,44.631346439999874,"[-10,10)","[-10,10)","[-10,10)","[0.25,0.5)"
0-0-3-4-11,0-0-3-4,11,45.82,-177.2714964736529,2.7285035263471107,3.0795445478887227,2.9040240371179165,0.35104102154158934,179.64895897845796,-0.99996001558692,-0.43063170139997,0.7545384776053174,48.98505928987418,"[-10,10)","[-10,10)","[-10,10)","[0.25,0.5)"
