token_position,token_value,n,y_mean,y_std,axis_angle_deg_mean,axis_angle_deg_std,axis_abs_elevation_deg_proxy_mean,axis_abs_elevation_deg_proxy_std,antiparallel_deviation_deg_mean,antiparallel_deviation_deg_std,Mg_H3_count_d5_mean,Mg_H3_count_d5_std,O_H3_count_d5_mean,O_H3_count_d5_std,Mg_H6_count_d5_mean,Mg_H6_count_d5_std,O_H6_count_d5_mean,O_H6_count_d5_std,first_Mg_H3_d5_mean,first_Mg_H3_d5_std,first_O_H3_d5_mean,first_O_H3_d5_std
5,5,10,45.78,5.094816537968326,14.723989304687427,27.68313287063711,15.124321767273647,7.534246967822851,0.15148187263353088,0.07440526509521815,2.3,2.7100635498903793,2.4,2.4585451886114367,5.2,4.049691346263318,5.4,4.141926551202418,4.75,1.2290466043057748,4.825,1.1693421702440698
5,6,10,44.605000000000004,7.45741726217745,17.02567769577174,26.484400368375326,18.085922429930477,8.765991084679536,0.18760968119378957,0.08298667806850417,2.1,2.6436506745197805,1.5,2.223610677354389,5.4,3.977715704047013,5.7,4.270050741306634,4.87,1.1569115975062418,5.1,1.1946640624971616
5,7,8,41.89125,11.01331718226361,15.776948430768648,29.962256746271734,21.815452485861847,11.608717285397328,0.2070102695522471,0.10199894605180457,2.5,2.8284271247461903,2.125,2.799872446074234,6.875,3.7961446607992015,7.125,3.6425069859723185,4.7875000000000005,1.2255465253160673,4.875,1.2811824895105972
5,8,8,41.6475,13.388549211919864,13.226265119516992,25.314257313182065,27.37856733017459,9.728097560135708,0.23659568998520475,0.11124063483389457,1.75,2.5495097567963922,1.25,1.7525491637693282,6.625,4.138236339311712,6.625,3.7392703642746747,5.125,1.0843035948083386,5.25625,1.0678541567086772
5,9,10,39.757,14.133937919458651,24.737655247605556,25.662794192925368,25.370578489473793,14.280057940040514,0.30755322270697516,0.09314786139087222,1.7,2.584139659108574,1.4,2.3664319132398464,6.2,4.104198392432369,5.9,3.9001424475410014,5.18,1.1648080433177725,5.16,1.163519564845292
5,10,8,43.17125,10.425640696310776,25.813811935890264,27.467232816023852,27.78378952626195,17.03452420412547,0.34139835882824,0.10726164779647267,0.875,2.100170061141308,1.125,2.4748737341529163,4.875,2.850438562747845,4.75,2.9640705601780613,5.5,0.9985704067029311,5.5,1.0312959946452953
5,11,6,34.645,18.058069387395765,38.74931392814188,24.576780030689836,21.50112611129003,21.70790941944789,0.41704156281205934,0.033253052954040116,2.5,3.5637059362410923,2.6666666666666665,3.7771241264574122,6.5,3.9370039370059056,6.666666666666667,3.7771241264574122,4.816666666666666,1.4678782874157745,4.825,1.4885395527160172
5,12,9,37.95333333333333,15.652177164854734,40.43649607126151,18.48818176238604,25.089408286715987,19.29266570800936,0.4706424966607589,0.022865182112840995,1.8888888888888888,3.018461712712472,1.8888888888888888,3.2574700476153438,6.555555555555555,4.096068575814836,6.444444444444445,4.216370213557839,5.061111111111111,1.2722464820588466,5.155555555555555,1.3391798899990166
5,13,9,41.111111111111114,14.101975432935314,37.56912947099054,19.068790827872753,32.09559029855583,21.733435860797204,0.5276912373244242,0.04264754772009853,0.8888888888888888,2.0275875100994063,1.0,2.345207879911715,5.777777777777778,4.0858835573770875,5.555555555555555,4.065436972550156,5.544444444444444,0.9606132300659709,5.533333333333333,0.9990620601344042
5,14,10,36.945,17.89553901581807,42.82294380897112,17.24206730767729,30.015571872894412,24.189265519803133,0.5805170554144639,0.09754741656413853,1.7,2.9078437983419185,1.9,3.071373199943851,6.4,4.168666186896929,6.3,4.4484703987875305,5.17,1.2083505745896392,5.1450000000000005,1.2466510694211468
5,15,8,45.481249999999996,2.1375850024869516,44.12659643460998,14.105318432345612,36.37179304453122,23.023069484074064,0.6646431838193378,0.1660559057443102,0.375,0.7440238091428449,0.375,0.7440238091428449,5.875,4.454131308603925,5.5,4.44007721940573,5.70625,0.5440834363535485,5.6875,0.5786375623578447
5,16,9,45.93111111111111,1.787046756834054,44.40422798970161,15.804340239175284,41.82460440977676,25.673231118095906,0.8036206497189473,0.3092166480225419,0.3333333333333333,0.7071067811865476,0.2222222222222222,0.44095855184409843,5.666666666666667,4.06201920231798,5.666666666666667,4.183300132670378,5.75,0.4962358310319802,5.727777777777778,0.540318835914911
5,17,9,45.50333333333334,2.5854496707536208,50.81039614020422,10.711003398353713,41.40035843015775,27.631402755736833,0.9494301648357829,0.5632296750251569,0.5555555555555556,0.881917103688197,0.4444444444444444,0.7264831572567789,5.444444444444445,3.908679799852858,5.555555555555555,4.245913067618999,5.605555555555556,0.6033471453299317,5.550000000000001,0.6837397165588671
5,18,9,46.10888888888889,1.6622909225256313,58.52900294988448,2.588451736626271,40.39617645290242,26.656542344587436,1.011739081268252,0.8131009637032479,0.3333333333333333,0.7071067811865476,0.4444444444444444,0.7264831572567789,5.444444444444445,4.0034707164881045,5.555555555555555,4.245913067618999,5.727777777777778,0.5472151719794002,5.550000000000001,0.6837397165588671
