feature,n_unique,spearman_vs_axis_angle,spearman_vs_y_all_samples,abs_spearman_vs_axis_angle
first_O_H3_d5,40,-0.04481850574517641,0.4705296653604248,0.04481850574517641
Mg_H3_count_d3,3,-0.04320471902042409,-0.3987096808492598,0.04320471902042409
first_Mg_H3_d3,11,0.041719411970488667,0.3987532662764321,0.041719411970488667
Mg_count_sum_H3_H6_d7,46,-0.035245218265121454,-0.6335968038063003,0.035245218265121454
n_events_d7,69,-0.0333384459588138,-0.6517405567964752,0.0333384459588138
n_events_d10,111,-0.03230440019025317,-0.6208284576386287,0.03230440019025317
invd_sum_total_H3_H6_d7,170,-0.032130260192229365,-0.6546205315104323,0.032130260192229365
invd_sum_total_H3_H6_d10,170,-0.03030073572180366,-0.634521520338686,0.03030073572180366
O_H3_count_d5,12,0.026601224031065237,-0.4640941840349567,0.026601224031065237
first_Mg_H6_d5,60,0.025866504703880612,0.7133752218924309,0.025866504703880612
first_Mg_H6_d3,22,0.02421481160754119,0.6481834419007155,0.02421481160754119
sum_invd_LH3_d5,87,0.024131917387841668,-0.4726737964704973,0.024131917387841668
Mg_H3_count_d5,13,0.023433717556313505,-0.4745610741614664,0.023433717556313505
first_Mg_H6_d10,64,0.02317552803851313,0.7174240848075744,0.02317552803851313
first_Mg_H6_d7,64,0.02317552803851313,0.7174240848075744,0.02317552803851313
top3_invd_LH3_d5,87,0.022305971671518387,-0.4673496701765974,0.022305971671518387
max_invd_LH3_d5,87,0.012034050227408765,-0.4640820006875086,0.012034050227408765
Mg_count_sum_H3_H6_d10,86,-0.009168237474130354,-0.6289147884617279,0.009168237474130354
first_Mg_H3_d5,43,-0.005321811309335822,0.45765040576788896,0.005321811309335822
