file_key,y,C3H3_angle_deg_raw,C3H3_reversed_deg,C6H6_angle_deg,axis_angle_deg,antiparallel_deviation_deg,input_angle_diff_deg,C3H3_reversed_deg_bin,C6H6_angle_deg_bin,axis_angle_deg_bin,antiparallel_deviation_deg_bin,fold_seed123,nearest_train_axis_angle_deg,train_count_within_5deg,nearest_train_antiparallel_deviation_deg,best_gpr_pred,best_gpr_std,rf_pred,best_gpr_abs_error,rf_abs_error
0-0-2-9-13,42.23,-143.25876025017217,36.74123974982782,37.29644655468634,37.01884315225708,0.5552068048584876,179.4447931951418,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",6,0.013819826902569441,22,0.0014657735803276228,40.821860039688815,3.653263063917561,41.6457333645247,1.408139960311182,0.584266635475295
0-0-2-9-14,42.05,-139.4348523147675,40.56514768523248,41.17229237265581,40.868720028944146,0.6071446874233006,179.39285531257642,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",3,0.04693449697398864,25,0.0012801417714414232,42.15700808900229,2.9777714756445195,43.7167545298291,0.1070080890022922,1.666754529829106
0-0-2-9-15,42.34,-135.23874199119413,44.76125800880586,45.415363160944906,45.08831058487539,0.654105152139017,179.34589484786105,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",9,2.5444437451708134e-14,30,5.0959236830294685e-14,42.8519033176986,2.985463327670999,43.7517275313355,0.5119033176985965,1.4117275313354938
0-0-2-9-16,42.9,-130.70969443526073,49.29030556473926,49.98281654432113,49.63656105453019,0.6925109795818444,179.30748902041825,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",5,2.5444437451708134e-14,23,5.084821452783217e-14,43.361476578001465,2.5197168023905685,43.5436587278537,0.46147657800146646,0.6436587278537047
0-0-2-9-17,43.48,-125.91265848653981,54.08734151346019,54.806075574829464,54.446708544144826,0.718734061369248,179.28126593863024,"[50,70]","[50,70]","[50,70]","[0.5,3.1]",2,0.0,26,0.0,42.50389584467524,2.284764339478458,43.7798665926333,0.9761041553247551,0.2998665926333004
0-0-2-9-18,43.93,-120.93730424195903,59.062695758040974,59.79250438396254,59.427600071001756,0.7298086259215428,179.27019137407865,"[50,70]","[50,70]","[50,70]","[0.5,3.1]",1,0.5412388462655923,29,0.01107456455229483,41.97639022317233,3.730692336503991,42.4582474335996,1.953609776827669,1.4717525664003972
0-0-3-1-0,46.53,157.07504433686572,-22.92495566313429,-22.909249503827777,-22.917102583481036,0.015706159306495035,179.98429384069397,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",5,0.018765240035791608,13,1.0177622633555927e-13,46.64640951030774,8.001310548554336,33.6978337510269,0.11640951030774005,12.832166248973103
0-0-3-1-1,47.25,157.04489818860122,-22.955101811398787,-22.93550901104267,-22.94530541122073,0.019592800356117122,179.98040719964428,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",6,0.00943758770390194,14,0.0038866410496220874,47.43210122818533,4.91744979113188,46.6710608804748,0.18210122818533137,0.5789391195252023
0-0-3-1-2,47.56,157.05229191762356,-22.947708082376423,-22.924027564657234,-22.935867823516826,0.023680517719210877,179.976319482281,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",3,0.00943758770390194,15,0.0035927631923188194,47.711186336724765,4.058433879865974,51.9740397932447,0.15118633672476278,4.414039793244697
0-0-3-1-3,47.62,157.09831945624424,-22.90168054375576,-22.873551184286463,-22.887615864021114,0.028129359469297066,179.9718706405303,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",9,0.029486719459920676,14,0.0008560785577673702,47.66760296449549,4.156149372798769,48.4471245730132,0.047602964495489175,0.8271245730132009
0-0-3-1-4,47.52,157.1856391081379,-22.814360891862094,-22.781233832467088,-22.79779736216459,0.033127059394997535,179.96687294060462,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",4,2.5444437451708134e-14,14,7.632783294297951e-14,47.61040287633093,3.316811040584561,47.8596931136819,0.09040287633092703,0.33969311368189636
0-0-3-1-5,47.35,157.31875705510726,-22.681242944892723,-22.642333453188346,-22.661788199040537,0.03890949170439945,179.96109050829597,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",5,2.2581938238390969e-13,13,6.361161597467913e-13,47.33160376305342,3.9701602537696767,47.4176192619192,0.01839623694657888,0.06761926191919798
0-0-3-1-6,47.15,157.50452822867152,-22.4954717713285,-22.44968150442344,-22.47257663787597,0.045790266905041066,179.95420973309479,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",2,0.0,13,0.0,47.141371709498905,2.818394690576687,47.2880046528288,0.008628290501093261,0.1380046528288048
0-0-3-1-7,46.93,157.75298153171877,-22.247018468281226,-22.19281159162532,-22.21991502995327,0.0542068766559174,179.9457931233438,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",9,0.0,14,0.0,46.85557917223912,4.018631441694425,46.6584299240878,0.07442082776088199,0.2715700759122015
0-0-3-1-8,46.71,158.07866590095367,-21.921334099046344,-21.856537116302476,-21.888935607674412,0.06479698274384448,179.93520301725587,"[-30,-10)","[-30,-10)","[-30,-10)","[0,0.25)",2,2.5444437451708134e-14,13,5.088984789125561e-14,46.40493694320739,3.8790999959979713,47.1673907613237,0.30506305679261203,0.45739076132370116
0-0-3-11-10,44.51,-143.91397930550932,36.086020694490685,36.48914126984134,36.28758098216601,0.40312057535063395,179.59687942464933,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",1,0.7174423431884906,23,0.00037265036355671466,44.42940651490726,2.622788923428676,44.8690923914884,0.08059348509274145,0.359092391488403
0-0-3-11-11,43.68,-141.74233605331148,38.257663946688524,38.702078729460474,38.4798713380745,0.444414782771932,179.5555852172282,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",9,0.10741746121709651,19,0.003936207354955756,44.812919039858606,2.637500635891744,43.9672841965946,1.1329190398586064,0.28728419659459803
0-0-3-11-12,43.11,-139.3266186133601,40.6733813866399,41.15792766519637,40.915654525918136,0.48454627855644616,179.51545372144372,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",4,0.0,23,0.0,43.21305403623374,2.90939551310085,43.786391775706,0.10305403623374332,0.6763917757060014
0-0-3-11-13,42.95,-136.67299949777842,43.327000502221566,43.84941041793302,43.58820546007729,0.5224099157114395,179.4775900842884,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",3,0.0,28,0.0,43.7301522808412,3.510746260921893,43.3897713407441,0.7801522808412003,0.43977134074409463
0-0-3-11-14,43.3,-133.79424626379648,46.205753736203526,46.76242631464236,46.484090025422944,0.5566725784388152,179.4433274215612,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",7,0.0,25,0.0,43.9152310849433,3.4521016454534257,44.0579652884483,0.6152310849433036,0.7579652884483039
0-0-3-11-15,44.14,-130.7109967629272,49.289003237072784,49.87485133928765,49.58192728818022,0.5858481022148432,179.41415189778493,"[30,50)","[30,50)","[30,50)","[0.5,3.1]",10,5.724998426634331e-14,23,1.0180745135812685e-13,44.49478977311388,2.723718912055252,44.33189433401,0.35478977311387894,0.19189433401000144
0-0-3-11-16,45.38,-127.45253919193851,52.54746080806149,53.15588563725626,52.85167322265888,0.6084248291947421,179.3915751708052,"[50,70]","[50,70]","[50,70]","[0.5,3.1]",8,0.0,20,0.0,44.27731147502804,3.162259502512867,44.1420096686737,1.1026885249719598,1.2379903313263014
0-0-3-11-8,46.3,-147.52443524590024,32.47556475409975,32.79575824266748,32.63566149838361,0.3201934885677071,179.6798065114323,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",3,0.48965777041994657,11,0.010869984400833976,46.117278753694514,2.8039497187336897,45.1106340749697,0.18272124630548348,1.1893659250302946
0-0-3-11-9,45.43,-145.84048681029097,34.15951318970904,34.52102637033683,34.340269780022936,0.3615131806277775,179.63848681937213,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",8,0.7834414532159463,15,0.006468430029163086,44.81425800467966,2.80984667221326,45.1469552287399,0.6157419953203416,0.2830447712601014
0-0-3-14-17,39.98,-122.08199424205849,57.91800575794151,58.462368662223916,58.19018721008272,0.5443629042823691,179.45563709571724,"[50,70]","[50,70]","[50,70]","[0.5,3.1]",3,0.16665149614988095,32,0.0022605433258410246,43.83018660678885,2.556922156577667,43.2602802399845,3.850186606788853,3.2802802399845064
0-0-3-14-18,43.62,-120.27079987195904,59.72920012804096,60.275823575649206,60.002511851845085,0.5466234476082101,179.45337655239138,"[50,70]","[50,70]","[50,70]","[0.5,3.1]",9,0.08116066644480396,31,0.0022605433258410246,40.266573284280135,2.680682599602447,42.4394153904088,3.3534267157198627,1.1805846095912003
0-0-3-15-3,45.86,-133.0042009148267,46.9957990851733,47.13920076025019,47.06749992271175,0.14340167507685733,179.8565983249233,"[30,50)","[30,50)","[30,50)","[0,0.25)",6,0.0,26,0.0,46.676698856138366,4.131030215023935,37.7768636595749,0.8166988561383661,8.0831363404251
0-0-3-15-4,45.28,-132.81020914782448,47.189790852175506,47.37441195965748,47.28210140591649,0.18462110748195126,179.81537889251777,"[30,50)","[30,50)","[30,50)","[0,0.25)",8,8.905553108097847e-14,24,1.7810752872549074e-13,44.53723963786615,2.4699368376118707,45.3981191838289,0.7427603621338505,0.11811918382890241
0-0-3-15-5,44.18,-132.50698232988728,47.493017670112714,47.7178472113626,47.60543244073766,0.224829541249872,179.77517045874987,"[30,50)","[30,50)","[30,50)","[0,0.25)",7,0.0,24,0.0,45.10297631826722,3.270227822528871,45.1739440559811,0.9229763182672173,0.9939440559811032
0-0-3-15-6,42.31,-132.09589634423205,47.90410365576795,48.167907828220386,48.03600574199417,0.26380417245241,179.73619582754762,"[30,50)","[30,50)","[30,50)","[0.25,0.5)",5,0.0,24,0.0,41.37162403530172,3.146962608894347,44.5384719352413,0.938375964698281,2.228471935241295
0-0-3-18-10,17.54,-119.64158116537168,60.358418834628324,60.760904938844476,60.5596618867364,0.40248610421612435,179.59751389578406,"[50,70]","[50,70]","[50,70]","[0.25,0.5)",6,0.10419094518079985,30,0.00028686681950407245,15.005908735943002,2.9880416168902566,18.2684542584591,2.534091264056997,0.7284542584591023
